id_pncp_item_compra,cod_compra,cod_item_compra,numero_item_pncp,numero_grupo,numero_item_compra,descricao_resumida,material_ou_servico,valor_unitario_estimado,valor_total,quantidade,unidade_medida,orcamento_sigiloso,item_categoria_id_pncp,item_categoria_nome,criterio_julgamento_id_pncp,criterio_julgamento_nome,situacao_compra_item,situacao_compra_item_nome,tipo_beneficio,tipo_beneficio_nome,incentivo_produtivo_basico,data_inclusao_pncp,data_atualizacao_pncp,tem_resultado,ID_contratacao_PNCP,cod_fornecedor,nome_fornecedor,data_resultado,valor_total_resultado,valor_unitario_resultado,quantidade_resultado,id_compra,id_compra_item,ano_compra,sequencial_compra,orgao_entidade_cnpj,unidade_orgao_codigo_unidade,margem_preferencia_normal,margem_preferencia_adicional,numero_controle_PNCP_compra
49189670,10454508,52023071,1,0,1,Prestação de Serviços de Eletricista Prestação de Serviços de Eletricista Detalhes encontram-se no Anexo III deste processo licitatório.,Serviço,2500.0,5000.0,2.0,UNIDADE,False,3,Informática (TIC),1,Menor preço,5,Fracassado,1,Participação exclusiva para ME/EPP,False,2026-04-16 15:49:24,2026-04-26 00:51:44,,00394502000144-1-003026/2026,,,,,,,78314006000102026,7831400600010202600001,2026,3026,394502000144,783140,False,False,00394502000144-1-003026/2026
49211717,10492305,52357922,2,0,2,Publicação Legal / Editais Publicação Legal / Editais,Serviço,65.0,3250.0,50.0,UNIDADE,False,3,Informática (TIC),7,Não se aplica,2,Homologado,5,Não se aplica,False,2026-04-26 11:25:50,2026-04-26 11:28:50,True,96291141000180-1-002211/2026,61533949000141.0,S/A O ESTADO DE S.PAULO,2026-04-26,3250.0,65.0,50.0,38011206000392026,3801120600039202600002,2026,2211,96291141000180,380112,False,False,96291141000180-1-002211/2026
49211718,10492305,52357923,3,0,3,Publicação Legal / Editais Publicação Legal / Editais,Serviço,78.0,780.0,10.0,UNIDADE,False,3,Informática (TIC),7,Não se aplica,2,Homologado,5,Não se aplica,False,2026-04-26 11:25:51,2026-04-26 11:28:51,True,96291141000180-1-002211/2026,61533949000141.0,S/A O ESTADO DE S.PAULO,2026-04-26,780.0,78.0,10.0,38011206000392026,3801120600039202600003,2026,2211,96291141000180,380112,False,False,96291141000180-1-002211/2026
49211719,10492466,52358579,1,0,1,Desinsetização / Desratização / Dedetização Desinsetização / Desratização / Dedetização,Serviço,4350.0,4350.0,1.0,UNIDADE,False,3,Informática (TIC),7,Não se aplica,2,Homologado,5,Não se aplica,False,2026-04-26 15:54:04,2026-04-26 15:57:05,True,96291141000180-1-002212/2026,58861411000151.0,POTENCIA SERVICOS LTDA,2026-04-24,4350.0,4350.0,1.0,38022006005282026,3802200600528202600001,2026,2212,96291141000180,380220,False,False,96291141000180-1-002212/2026
49211720,10486291,52318432,1,0,1,Manutenção Extintores / Mangueiras - Combate Incêndio Manutenção Extintores / Mangueiras - Combate Incêndio,Serviço,33.2,597.6,18.0,UNIDADE,False,3,Informática (TIC),7,Não se aplica,2,Homologado,5,Não se aplica,False,2026-04-24 10:52:36,2026-04-26 16:48:41,True,96291141000180-1-002194/2026,8717385000114.0,SUDASEG COMERCIO E SERVICOS LTDA,2026-04-26,597.6,33.2,18.0,38022006005272026,3802200600527202600001,2026,2194,96291141000180,380220,False,False,96291141000180-1-002194/2026
49218715,10493111,52360804,10,0,10,"Condimento* aplicação: alimentação, aspecto físico: desidratada, características adicionais: óleo de milho, azeite de oliva, sal, açúcar e  es-, matéria-prima: tomate seco",Material,1.0,90.0,90.0,Embalagem 80 G,False,3,Informática (TIC),7,Não se aplica,2,Homologado,5,Não se aplica,False,2026-04-26 22:27:06,2026-04-26 22:30:07,True,07338736000113-1-000001/2025,38087485000175.0,KL COMERCIO DE ALIMENTOS LTDA,2026-04-26,90.0,1.0,90.0,93200706000012025,9320070600001202500010,2025,1,7338736000113,932007,False,False,07338736000113-1-000001/2025
49218718,10493111,52360805,5,0,5,"Pão base: de farinha de trigo refinada, ingredientes adicionais: de coco, tipo: doce, tipo adicional: bisnaga",Material,7.0,819.0,117.0,Embalagem 500 G,False,3,Informática (TIC),7,Não se aplica,2,Homologado,5,Não se aplica,False,2026-04-26 22:27:08,2026-04-26 22:30:08,True,07338736000113-1-000001/2025,38087485000175.0,KL COMERCIO DE ALIMENTOS LTDA,2026-04-26,819.0,7.0,117.0,93200706000012025,9320070600001202500005,2025,1,7338736000113,932007,False,False,07338736000113-1-000001/2025
49218719,10493111,52360806,15,0,15,"Sal acidez: 7,0, aplicação: alimentícia, teor máximo sódio: 390, tipo: refinado",Material,2.0,72.0,36.0,Quilograma,False,3,Informática (TIC),7,Não se aplica,2,Homologado,5,Não se aplica,False,2026-04-26 22:27:09,2026-04-26 22:30:09,True,07338736000113-1-000001/2025,38087485000175.0,KL COMERCIO DE ALIMENTOS LTDA,2026-04-26,72.0,2.0,36.0,93200706000012025,9320070600001202500015,2025,1,7338736000113,932007,False,False,07338736000113-1-000001/2025
49218720,10493111,52360807,17,0,17,"Vinagre acidez: 4,20, aspecto físico: líquido, aspecto visual: límpido e sem depósitos, matéria-prima: álcool cana de açúcar, tipo: neutro",Material,2.0,72.0,36.0,Frasco 500 ML,False,3,Informática (TIC),7,Não se aplica,2,Homologado,5,Não se aplica,False,2026-04-26 22:27:09,2026-04-26 22:30:09,True,07338736000113-1-000001/2025,38087485000175.0,KL COMERCIO DE ALIMENTOS LTDA,2026-04-26,72.0,2.0,36.0,93200706000012025,9320070600001202500017,2025,1,7338736000113,932007,False,False,07338736000113-1-000001/2025
49218721,10493111,52360808,2,0,2,"Carne Bovina In Natura apresentação: peça inteira, estado de conservação: congelado(a), processamento: com osso, tipo corte: acém",Material,33.99,4588.65,135.0,Embalagem 1 KG,False,3,Informática (TIC),7,Não se aplica,2,Homologado,5,Não se aplica,False,2026-04-26 22:27:10,2026-04-26 22:30:10,True,07338736000113-1-000001/2025,38087485000175.0,KL COMERCIO DE ALIMENTOS LTDA,2026-04-14,4588.65,33.99,135.0,93200706000012025,9320070600001202500002,2025,1,7338736000113,932007,False,False,07338736000113-1-000001/2025
49218722,10493111,52360809,11,0,11,"Leite Em Pó origem: de vaca, solubilidade: não instantâneo, teor gordura: integral",Material,9.5,3610.0,380.0,Embalagem 200 G,False,3,Informática (TIC),7,Não se aplica,2,Homologado,5,Não se aplica,False,2026-04-26 22:27:11,2026-04-26 22:30:11,True,07338736000113-1-000001/2025,38087485000175.0,KL COMERCIO DE ALIMENTOS LTDA,2026-04-26,3610.0,9.5,380.0,93200706000012025,9320070600001202500011,2025,1,7338736000113,932007,False,False,07338736000113-1-000001/2025
49218723,10493111,52360810,18,0,18,"Carne Salgada apresentação: em mantas, estado de conservação: seco(a), origem: bovina, tipo corte: ponta de agulha - charque",Material,42.0,3402.0,81.0,Embalagem 1 KG,False,3,Informática (TIC),7,Não se aplica,2,Homologado,5,Não se aplica,False,2026-04-26 22:27:11,2026-04-26 22:30:11,True,07338736000113-1-000001/2025,38087485000175.0,KL COMERCIO DE ALIMENTOS LTDA,2026-04-26,3402.0,42.0,81.0,93200706000012025,9320070600001202500018,2025,1,7338736000113,932007,False,False,07338736000113-1-000001/2025
49218724,10493111,52360811,4,0,4,"Pão apresentação: pré-assado congelado, base: de farinha de trigo refinada, tipo: tipo françês/branco/de sal, tipo adicional: tradicional",Material,14.0,2520.0,180.0,Quilograma,False,3,Informática (TIC),7,Não se aplica,2,Homologado,5,Não se aplica,False,2026-04-26 22:27:12,2026-04-26 22:30:12,True,07338736000113-1-000001/2025,38087485000175.0,KL COMERCIO DE ALIMENTOS LTDA,2026-04-14,2520.0,14.0,180.0,93200706000012025,9320070600001202500004,2025,1,7338736000113,932007,False,False,07338736000113-1-000001/2025
49218725,10493111,52360812,14,0,14,"Proteína Texturizada Soja apresentação: flocos, composição básica: proteína de soja 50% e carboidrato 30%, sabor: carne bovina",Material,6.9,621.0,90.0,Pacote 500 G,False,3,Informática (TIC),7,Não se aplica,2,Homologado,5,Não se aplica,False,2026-04-26 22:27:13,2026-04-26 22:30:13,True,07338736000113-1-000001/2025,38087485000175.0,KL COMERCIO DE ALIMENTOS LTDA,2026-04-26,621.0,6.9,90.0,93200706000012025,9320070600001202500014,2025,1,7338736000113,932007,False,False,07338736000113-1-000001/2025
49218726,10493111,52360813,6,0,6,"Creme De Leite processamento: uht, teor gordura: até 20% de gordura, tratamento: homogeneizado",Material,3.8,342.0,90.0,Embalagem 200 G,False,3,Informática (TIC),7,Não se aplica,2,Homologado,5,Não se aplica,False,2026-04-26 22:27:14,2026-04-26 22:30:14,True,07338736000113-1-000001/2025,38087485000175.0,KL COMERCIO DE ALIMENTOS LTDA,2026-04-26,342.0,3.8,90.0,93200706000012025,9320070600001202500006,2025,1,7338736000113,932007,False,False,07338736000113-1-000001/2025
49218727,10493111,52360814,16,0,16,"Massa De Tomate apresentação: creme, composição: tradicional, tipo: extrato concentrado",Material,3.48,469.8,135.0,Embalagem 340 G,False,3,Informática (TIC),7,Não se aplica,2,Homologado,5,Não se aplica,False,2026-04-26 22:27:15,2026-04-26 22:30:15,True,07338736000113-1-000001/2025,38087485000175.0,KL COMERCIO DE ALIMENTOS LTDA,2026-04-26,469.8,3.48,135.0,93200706000012025,9320070600001202500016,2025,1,7338736000113,932007,False,False,07338736000113-1-000001/2025
